Family,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Methanobacteriaceae,0.491,0.711,-0.0172,0.641,0.72,0.0189,0.766,0.987,-0.908,0.444,0.324,0.364,0.94,0.993,0.641,No,No,No
Actinomycetaceae,-0.141,0.122,-0.0275,0.426,0.518,0.013,-0.33,0.236,-2.12,0.741,0.813,0.0342,0.991,0.998,0.158,No,No,No
Bifidobacteriaceae,-1.1,-0.0749,0.0182,0.77,0.89,0.0196,-1.42,-0.0841,0.931,0.155,0.933,0.352,0.633,0.998,0.641,No,No,No
Coriobacteriaceae,-0.969,-0.203,0.0466,0.605,0.709,0.016,-1.6,-0.286,2.92,0.109,0.775,0.00355,0.633,0.998,0.0438,No,No,No
[Barnesiellaceae],0.584,0.59,-0.00247,0.615,0.705,0.0161,0.95,0.837,-0.154,0.342,0.403,0.878,0.94,0.993,0.928,No,No,No
[Odoribacteraceae],-0.615,-0.626,-0.0164,0.444,0.552,0.0117,-1.39,-1.13,-1.4,0.166,0.256,0.162,0.633,0.993,0.386,No,No,No
[Paraprevotellaceae],1.16,-0.398,-0.0404,0.754,0.987,0.0236,1.53,-0.403,-1.72,0.125,0.687,0.0863,0.633,0.998,0.29,No,No,No
Bacteroidaceae,-0.1,0.099,-0.00894,0.596,0.622,0.0154,-0.168,0.159,-0.581,0.867,0.874,0.562,0.991,0.998,0.742,No,No,No
Porphyromonadaceae,1.06,0.745,0.00883,0.543,0.652,0.0143,1.95,1.14,0.619,0.0507,0.253,0.536,0.633,0.993,0.734,No,No,No
Prevotellaceae,1.74,2.26,-0.0102,1.01,0.906,0.0215,1.72,2.5,-0.476,0.0849,0.0124,0.634,0.633,0.46,0.787,No,No,No
Rikenellaceae,0.0434,0.0806,0.0209,0.651,0.645,0.0151,0.0667,0.125,1.38,0.947,0.901,0.167,0.991,0.998,0.386,No,No,No
S24-7,-0.149,-0.571,-0.00739,0.763,0.869,0.0176,-0.196,-0.658,-0.421,0.845,0.511,0.674,0.991,0.998,0.797,No,No,No
Enterococcaceae,-0.291,-0.754,-0.0195,0.523,0.474,0.0118,-0.557,-1.59,-1.65,0.577,0.111,0.0987,0.94,0.993,0.304,No,No,No
Lactobacillaceae,-0.147,-0.399,-0.0274,0.282,0.355,0.0069,-0.523,-1.12,-3.96,0.601,0.262,7.44e-5,0.94,0.993,0.00138,No,No,No
Streptococcaceae,-0.0407,0.341,4.2e-4,0.485,0.6,0.0135,-0.0838,0.568,0.0311,0.933,0.57,0.975,0.991,0.998,0.975,No,No,No
Turicibacteraceae,-0.107,-0.34,-0.00669,0.506,0.552,0.0142,-0.211,-0.616,-0.471,0.833,0.538,0.638,0.991,0.998,0.787,No,No,No
[Mogibacteriaceae],-0.186,-0.0307,0.0142,0.42,0.472,0.00904,-0.443,-0.0649,1.56,0.658,0.948,0.118,0.974,0.998,0.335,No,No,No
[Tissierellaceae],0.356,-0.331,-0.0211,0.363,0.325,0.00844,0.982,-1.02,-2.5,0.326,0.308,0.0123,0.94,0.993,0.0838,No,No,No
Christensenellaceae,0.625,-0.0012,0.0105,0.493,0.622,0.0138,1.27,-0.00193,0.758,0.205,0.998,0.449,0.691,0.998,0.69,No,No,No
Clostridiaceae,-0.0152,-0.126,-0.00249,0.582,0.654,0.0154,-0.0261,-0.192,-0.161,0.979,0.848,0.872,0.991,0.998,0.928,No,No,No
Dehalobacteriaceae,0.151,0.502,-0.0186,0.266,0.357,0.00755,0.57,1.41,-2.47,0.569,0.159,0.0136,0.94,0.993,0.0838,No,No,No
Lachnospiraceae,-0.185,-0.0422,-0.001,0.21,0.266,0.00579,-0.88,-0.158,-0.173,0.379,0.874,0.863,0.94,0.998,0.928,No,No,No
Peptococcaceae,0.277,0.204,-0.0364,0.542,0.584,0.0168,0.511,0.35,-2.16,0.609,0.727,0.0307,0.94,0.998,0.158,No,No,No
Peptostreptococcaceae,-0.436,-0.682,-0.0111,0.565,0.735,0.0153,-0.771,-0.928,-0.728,0.441,0.353,0.466,0.94,0.993,0.69,No,No,No
Ruminococcaceae,-0.12,-0.11,-5.41e-4,0.192,0.252,0.00572,-0.626,-0.438,-0.0947,0.531,0.661,0.925,0.94,0.998,0.95,No,No,No
Veillonellaceae,0.387,-0.0451,0.00931,0.501,0.582,0.0145,0.772,-0.0774,0.645,0.44,0.938,0.519,0.94,0.998,0.734,No,No,No
Erysipelotrichaceae,-0.574,-0.0562,0.0134,0.42,0.542,0.0106,-1.37,-0.104,1.26,0.171,0.917,0.206,0.633,0.998,0.428,No,No,No
Fusobacteriaceae,-0.776,0.398,-0.00548,0.486,0.636,0.0137,-1.6,0.626,-0.399,0.11,0.531,0.69,0.633,0.998,0.797,No,No,No
Victivallaceae,1.25,0.61,-0.0296,0.531,0.486,0.0113,2.35,1.25,-2.62,0,0,0.0087,0,0,0.0805,Yes,No,No
Alcaligenaceae,0.847,0.674,-0.0125,0.524,0.649,0.0156,1.62,1.04,-0.803,0.106,0.299,0.422,0.633,0.993,0.679,No,No,No
Oxalobacteraceae,0.133,0.594,-0.011,0.345,0.369,0.00873,0.385,1.61,-1.26,0.701,0.107,0.208,0.991,0.993,0.428,No,No,No
Desulfovibrionaceae,0.271,-0.762,0.0223,0.531,0.545,0.0115,0.51,-1.4,1.94,0.61,0.162,0.0525,0.94,0.993,0.216,No,No,No
Succinivibrionaceae,-0.0332,-0.604,-0.0208,0.925,1.05,0.0257,-0.0359,-0.575,-0.81,0.971,0.565,0.418,0.991,0.998,0.679,No,No,No
Enterobacteriaceae,-0.0729,-0.0213,-0.04,0.603,0.883,0.0212,-0.121,-0.0242,-1.88,0.904,0.981,0.0597,0.991,0.998,0.221,No,No,No
Pasteurellaceae,-0.0389,0.0989,-0.0256,0.349,0.371,0.00638,-0.111,0.267,-4.01,0.911,0.79,5.97e-5,0.991,0.998,0.00138,No,No,No
Verrucomicrobiaceae,-0.00873,-0.0399,-0.0216,0.803,0.817,0.0235,-0.0109,-0.0489,-0.919,0.991,0.961,0.358,0.991,0.998,0.641,No,No,No
Unknown,0.215,-0.463,-0.0169,0.383,0.53,0.0112,0.562,-0.874,-1.51,0.574,0.382,0.13,0.94,0.993,0.344,No,No,No
