Family,Genus,beta.statussc,beta.age,se.statussc,se.age,W.statussc,W.age,p.statussc,p.age,q.statussc,q.age,structural_zero (status = nc),structural_zero (status = sc)
Methanobacteriaceae,Methanobrevibacter,0.28,-0.018,0.371,0.0106,0.754,-1.7,0.451,0.0891,0.727,0.191,No,No
Actinomycetaceae,Actinomyces,0.25,-0.0123,0.223,0.00656,1.12,-1.88,0.262,0.0602,0.585,0.14,No,No
Bifidobacteriaceae,Bifidobacterium,-0.0101,0.0313,0.448,0.0128,-0.0226,2.45,0.982,0.0144,0.982,0.0493,No,No
Coriobacteriaceae,Collinsella,0.874,0.0613,0.362,0.00994,2.42,6.17,0.0157,6.97e-10,0.152,4.04e-8,No,No
Coriobacteriaceae,Slackia,1.11,0.0267,0.229,0.00672,4.86,3.98,1.16e-6,6.95e-5,6.73e-5,0.00201,No,No
[Odoribacteraceae],Butyricimonas,-0.393,-0.0243,0.359,0.0101,-1.09,-2.4,0.274,0.0163,0.589,0.0526,No,No
[Odoribacteraceae],Odoribacter,-0.647,-0.0251,0.312,0.00857,-2.07,-2.93,0.038,0.00343,0.227,0.0213,No,No
[Paraprevotellaceae],[Prevotella],0.816,-0.0254,0.568,0.0157,1.44,-1.62,0.151,0.106,0.381,0.219,No,No
[Paraprevotellaceae],CF231,-0.198,-0.0215,0.233,0.00673,-0.851,-3.2,0.395,0.00139,0.702,0.0115,No,No
[Paraprevotellaceae],Paraprevotella,0.661,-0.00919,0.416,0.0115,1.59,-0.797,0.112,0.425,0.381,0.592,No,No
Bacteroidaceae,Bacteroides,-0.671,-0.028,0.351,0.0101,-1.91,-2.76,0.0564,0.00582,0.252,0.0273,No,No
Porphyromonadaceae,Parabacteroides,-0.678,-0.0291,0.334,0.01,-2.03,-2.91,0.0422,0.00367,0.227,0.0213,No,No
Prevotellaceae,Prevotella,0.825,6.84e-4,0.574,0.0157,1.44,0.0436,0.151,0.965,0.381,0.967,No,No
Rikenellaceae,Alistipes,-0.936,-0.0117,0.477,0.0143,-1.96,-0.821,0.0496,0.412,0.24,0.592,No,No
Streptococcaceae,Streptococcus,0.488,0.00239,0.296,0.00844,1.65,0.284,0.0995,0.777,0.381,0.883,No,No
