Family,Genus,beta.visitv2,beta.age,se.visitv2,se.age,W.visitv2,W.age,p.visitv2,p.age,q.visitv2,q.age,structural_zero (visit = v1),structural_zero (visit = v2)
Methanobacteriaceae,Methanobrevibacter,-0.248,-0.0138,0.376,0.0122,-0.66,-1.13,0.509,0.259,0.856,0.618,No,No
Methanobacteriaceae,Methanosphaera,0.477,-0.0196,0.188,0.00467,2.53,-4.2,0.0114,2.7e-5,0.6,0.00148,No,No
Actinomycetaceae,Actinomyces,-0.167,4.73e-4,0.254,0.0095,-0.658,0.0498,0.511,0.96,0.856,0.991,No,No
Bifidobacteriaceae,Bifidobacterium,-0.398,0.014,0.473,0.016,-0.841,0.877,0.4,0.38,0.856,0.683,No,No
Coriobacteriaceae,Collinsella,-0.78,0.0237,0.373,0.011,-2.09,2.17,0.0367,0.0303,0.6,0.144,No,No
Coriobacteriaceae,Slackia,0.172,0.0241,0.261,0.0076,0.657,3.17,0.511,0.00151,0.856,0.0223,No,No
[Odoribacteraceae],Butyricimonas,0.264,-0.00976,0.317,0.00933,0.832,-1.05,0.406,0.296,0.856,0.629,No,No
[Odoribacteraceae],Odoribacter,0.186,0.00139,0.267,0.00734,0.695,0.19,0.487,0.849,0.856,0.94,No,No
[Paraprevotellaceae],[Prevotella],0.194,-0.0457,0.498,0.0164,0.39,-2.79,0.696,0.00533,0.937,0.0472,No,No
[Paraprevotellaceae],CF231,0.0424,-0.0093,0.24,0.00737,0.177,-1.26,0.859,0.207,0.993,0.559,No,No
[Paraprevotellaceae],Paraprevotella,0.843,-0.0281,0.381,0.0108,2.21,-2.6,0.0269,0.00932,0.6,0.0642,No,No
Bacteroidaceae,Bacteroides,0.406,-0.00839,0.339,0.0118,1.2,-0.711,0.231,0.477,0.856,0.721,No,No
Porphyromonadaceae,Parabacteroides,-0.221,-0.00391,0.326,0.00899,-0.678,-0.435,0.498,0.663,0.856,0.855,No,No
Prevotellaceae,Prevotella,0.163,-0.0176,0.492,0.0148,0.331,-1.19,0.74,0.236,0.937,0.585,No,No
Rikenellaceae,Alistipes,0.134,0.00705,0.4,0.0127,0.335,0.557,0.737,0.578,0.937,0.806,No,No
Enterococcaceae,Enterococcus,0.462,-0.0115,0.24,0.00724,1.93,-1.6,0.0542,0.111,0.672,0.312,No,No
Lactobacillaceae,Lactobacillus,-0.148,-0.00684,0.198,0.00789,-0.746,-0.867,0.456,0.386,0.856,0.683,No,No
Streptococcaceae,Streptococcus,0.443,0.00862,0.303,0.0119,1.47,0.724,0.143,0.469,0.856,0.721,No,No
Turicibacteraceae,Turicibacter,0.344,-1.27e-4,0.297,0.0114,1.16,-0.0111,0.247,0.991,0.856,0.991,No,No
[Mogibacteriaceae],Mogibacterium,-0.409,0.00497,0.303,0.0101,-1.35,0.492,0.177,0.623,0.856,0.828,No,No
Clostridiaceae,02d06,-0.307,-0.00733,0.284,0.00947,-1.08,-0.774,0.279,0.439,0.856,0.721,No,No
NA,Clostridium,0.0135,0.00583,0.358,0.0107,0.0378,0.546,0.97,0.585,0.993,0.806,No,No
Clostridiaceae,SMB53,0.163,-0.0084,0.261,0.00953,0.624,-0.881,0.533,0.378,0.86,0.683,No,No
Dehalobacteriaceae,Dehalobacterium,0.00993,-0.0151,0.162,0.00574,0.0612,-2.63,0.951,0.00844,0.993,0.0642,No,No
Lachnospiraceae,[Ruminococcus],0.244,0.00343,0.209,0.00577,1.17,0.593,0.243,0.553,0.856,0.798,No,No
Lachnospiraceae,Anaerostipes,-0.308,-9.32e-5,0.226,0.00798,-1.36,-0.0117,0.174,0.991,0.856,0.991,No,No
Lachnospiraceae,Blautia,-0.0861,0.0122,0.227,0.00722,-0.379,1.69,0.704,0.0903,0.937,0.28,No,No
Lachnospiraceae,Butyrivibrio,-0.261,-0.0402,0.395,0.0101,-0.661,-3.97,0.509,7.18e-5,0.856,0.00148,No,No
Lachnospiraceae,Coprococcus,0.165,0.00126,0.171,0.00477,0.967,0.263,0.333,0.792,0.856,0.893,No,No
