Family,Genus,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Methanobacteriaceae,Methanobrevibacter,0.572,0.612,-0.014,0.619,0.737,0.0198,0.924,0.83,-0.705,0.356,0.406,0.481,0.72,0.885,0.779,No,No,No
Methanobacteriaceae,Methanosphaera,-0.0197,-0.32,-0.0361,0.353,0.368,0.00748,-0.0559,-0.87,-4.82,0.955,0.384,1.44e-6,0.994,0.883,4.41e-5,No,No,No
Actinomycetaceae,Actinomyces,-0.137,0.228,-0.0192,0.403,0.507,0.0133,-0.34,0.45,-1.44,0.734,0.653,0.149,0.989,0.983,0.399,No,No,No
Bifidobacteriaceae,Bifidobacterium,-1.08,-0.14,0.0195,0.793,0.924,0.0202,-1.36,-0.152,0.964,0.175,0.879,0.335,0.627,0.99,0.659,No,No,No
Coriobacteriaceae,Collinsella,-1.19,-0.727,0.0364,0.655,0.805,0.0194,-1.82,-0.903,1.88,0.069,0.367,0.0597,0.528,0.883,0.228,No,No,No
Coriobacteriaceae,Slackia,-0.562,0.31,0.0346,0.398,0.463,0.00979,-1.41,0.669,3.54,0.159,0.503,4.06e-4,0.627,0.974,0.00825,No,No,No
[Odoribacteraceae],Butyricimonas,-0.585,-0.798,-0.0346,0.566,0.642,0.0137,-1.03,-1.24,-2.53,0.301,0.214,0.0113,0.686,0.855,0.069,No,No,No
[Odoribacteraceae],Odoribacter,-0.325,-0.149,0.00326,0.461,0.592,0.0119,-0.705,-0.252,0.274,0.481,0.801,0.784,0.829,0.99,0.894,No,No,No
[Paraprevotellaceae],[Prevotella],1.28,0.112,-0.0512,0.941,1.04,0.0239,1.36,0.108,-2.14,0.173,0.914,0.0325,0.627,0.99,0.165,No,No,No
[Paraprevotellaceae],CF231,0.234,-0.235,-0.0232,0.384,0.399,0.00834,0.61,-0.589,-2.78,0.542,0.556,0.00543,0.848,0.983,0.0552,No,No,No
