Family,Genus,Species,beta.statussc,beta.age,se.statussc,se.age,W.statussc,W.age,p.statussc,p.age,q.statussc,q.age,structural_zero (status = nc),structural_zero (status = sc)
Bifidobacteriaceae,Bifidobacterium,B.adolescentis,0.0771,0.0229,0.345,0.0113,0.223,2.03,0.823,0.0422,0.949,0.151,No,No
Coriobacteriaceae,Collinsella,C.aerofaciens,0.545,0.0293,0.261,0.00812,2.09,3.61,0.0368,3.1e-4,0.132,0.00667,No,No
Bacteroidaceae,Bacteroides,B.caccae,-0.866,0.00164,0.286,0.00951,-3.03,0.173,0.00248,0.863,0.0152,0.905,No,No
Bacteroidaceae,Bacteroides,B.eggerthii,-0.0129,-0.00909,0.226,0.00599,-0.0571,-1.52,0.955,0.129,0.955,0.277,No,No
Bacteroidaceae,Bacteroides,B.fragilis,-0.799,-0.021,0.273,0.00807,-2.93,-2.6,0.00342,0.00931,0.0184,0.0445,No,No
Bacteroidaceae,Bacteroides,B.ovatus,-1.16,-0.0265,0.315,0.00935,-3.68,-2.84,2.38e-4,0.00457,0.00511,0.0301,No,No
Bacteroidaceae,Bacteroides,B.uniformis,-1.02,-0.0139,0.323,0.00927,-3.15,-1.49,0.00163,0.135,0.0152,0.277,No,No
Porphyromonadaceae,Parabacteroides,P.distasonis,0.177,-0.0221,0.219,0.00577,0.81,-3.82,0.418,1.31e-4,0.691,0.00565,No,No
Prevotellaceae,Prevotella,P.copri,0.953,5.51e-4,0.501,0.0163,1.9,0.0339,0.057,0.973,0.17,0.973,No,No
Prevotellaceae,Prevotella,P.stercorea,1.49,-0.00227,0.434,0.0129,3.43,-0.175,6.01e-4,0.861,0.00861,0.905,No,No
Rikenellaceae,Alistipes,A.indistinctus,-0.361,0.00342,0.221,0.00683,-1.64,0.501,0.102,0.616,0.243,0.814,No,No
Rikenellaceae,Alistipes,A.massiliensis,-0.0146,-0.00233,0.168,0.00444,-0.0871,-0.526,0.931,0.599,0.955,0.814,No,No
Rikenellaceae,Alistipes,A.onderdonkii,-0.494,-0.00709,0.206,0.00647,-2.39,-1.1,0.0166,0.273,0.0716,0.534,No,No
Rikenellaceae,Alistipes,A.putredinis,-0.91,-0.0168,0.329,0.01,-2.77,-1.68,0.00565,0.0933,0.027,0.223,No,No
Clostridiaceae,Clostridium,C.celatum,0.237,0.00757,0.269,0.00783,0.884,0.966,0.377,0.334,0.675,0.612,No,No
Lachnospiraceae,[Ruminococcus],R.gnavus,0.235,0.00362,0.161,0.00461,1.46,0.785,0.145,0.432,0.323,0.686,No,No
Lachnospiraceae,[Ruminococcus],R.torques,-0.699,-0.00236,0.23,0.0074,-3.04,-0.319,0.00236,0.75,0.0152,0.848,No,No
Lachnospiraceae,Blautia,B.obeum,0.1,0.0143,0.193,0.00508,0.518,2.81,0.604,0.00491,0.866,0.0301,No,No
Lachnospiraceae,Blautia,B.producta,-0.382,-0.00336,0.268,0.00824,-1.42,-0.408,0.154,0.684,0.323,0.848,No,No
Lachnospiraceae,Butyrivibrio,B.crossotus,0.592,-0.0031,0.329,0.00925,1.8,-0.335,0.0717,0.737,0.193,0.848,No,No
Lachnospiraceae,Clostridium,C.citroniae,-0.359,-0.0142,0.19,0.00569,-1.89,-2.5,0.0591,0.0124,0.17,0.0534,No,No
Lachnospiraceae,Coprococcus,C.catus,-0.0128,0.00478,0.187,0.00517,-0.0682,0.923,0.946,0.356,0.955,0.612,No,No
Lachnospiraceae,Coprococcus,C.eutactus,0.252,0.00693,0.301,0.00932,0.836,0.744,0.403,0.457,0.691,0.686,No,No
Lachnospiraceae,Dorea,D.formicigenerans,0.263,0.00789,0.186,0.00465,1.41,1.7,0.158,0.0894,0.323,0.223,No,No
Lachnospiraceae,Roseburia,R.faecis,-0.161,-0.0027,0.217,0.00552,-0.742,-0.489,0.458,0.625,0.729,0.814,No,No
Ruminococcaceae,Butyricicoccus,B.pullicaecorum,0.14,-0.0108,0.218,0.00667,0.641,-1.62,0.522,0.105,0.801,0.238,No,No
Ruminococcaceae,Faecalibacterium,F.prausnitzii,-0.04,-0.00136,0.168,0.00394,-0.239,-0.346,0.811,0.73,0.949,0.848,No,No
Ruminococcaceae,Gemmiger,G.formicilis,0.0369,0.0131,0.189,0.0045,0.196,2.91,0.845,0.00358,0.949,0.0301,No,No
Ruminococcaceae,Ruminococcus,R.bromii,0.0456,0.0161,0.309,0.00916,0.148,1.76,0.883,0.0788,0.949,0.215,No,No
Ruminococcaceae,Ruminococcus,R.callidus,-0.108,0.00629,0.273,0.00857,-0.396,0.734,0.692,0.463,0.949,0.686,No,No
Ruminococcaceae,Ruminococcus,R.flavefaciens,0.0451,0.00206,0.201,0.00575,0.225,0.359,0.822,0.72,0.949,0.848,No,No
Veillonellaceae,Veillonella,V.dispar,-0.0762,-0.006,0.128,0.00343,-0.597,-1.75,0.55,0.08,0.816,0.215,No,No
Veillonellaceae,Veillonella,V.parvula,-0.139,-0.0038,0.14,0.0041,-0.997,-0.927,0.319,0.354,0.623,0.612,No,No
Erysipelotrichaceae,[Eubacterium],E.biforme,1.09,0.0152,0.256,0.00805,4.24,1.89,2.19e-5,0.0588,9.42e-4,0.194,No,No
Erysipelotrichaceae,[Eubacterium],E.cylindroides,-0.0366,-7.99e-4,0.213,0.0063,-0.172,-0.127,0.863,0.899,0.949,0.92,No,No
Erysipelotrichaceae,[Eubacterium],E.dolichum,-0.36,-0.0136,0.153,0.00447,-2.36,-3.03,0.0185,0.00241,0.0723,0.0259,No,No
Erysipelotrichaceae,Bulleidia,B.p-1630-c5,0.433,0.0149,0.265,0.00849,1.64,1.75,0.102,0.0796,0.243,0.215,No,No
Erysipelotrichaceae,Clostridium,C.ramosum,-0.132,-0.0107,0.147,0.00391,-0.901,-2.74,0.368,0.00619,0.675,0.0332,No,No
Erysipelotrichaceae,Clostridium,C.spiroforme,-0.0429,-0.0106,0.189,0.00518,-0.227,-2.06,0.821,0.0398,0.949,0.151,No,No
Desulfovibrionaceae,Desulfovibrio,D.D168,-0.438,-0.0186,0.222,0.00549,-1.97,-3.38,0.0491,7.19e-4,0.163,0.0103,No,No
Pasteurellaceae,Haemophilus,H.parainfluenzae,-0.0392,-0.00481,0.188,0.00569,-0.209,-0.845,0.835,0.398,0.949,0.658,No,No
Verrucomicrobiaceae,Akkermansia,A.muciniphila,-0.969,0.0026,0.31,0.00968,-3.12,0.269,0.00179,0.788,0.0152,0.869,No,No
NA,NA,Unknown,0.0168,0.00104,0.0656,0.00169,0.256,0.614,0.798,0.539,0.949,0.773,No,No
