Family,Genus,Species,beta.time2aids5 - 10 yrs,beta.time2aids< 5 yrs,beta.age,se.time2aids5 - 10 yrs,se.time2aids< 5 yrs,se.age,W.time2aids5 - 10 yrs,W.time2aids< 5 yrs,W.age,p.time2aids5 - 10 yrs,p.time2aids< 5 yrs,p.age,q.time2aids5 - 10 yrs,q.time2aids< 5 yrs,q.age,structural_zero (time2aids = > 10 yrs),structural_zero (time2aids = 5 - 10 yrs),structural_zero (time2aids = < 5 yrs)
Bifidobacteriaceae,Bifidobacterium,B.adolescentis,-0.396,0.761,0.0124,0.729,0.818,0.0204,-0.543,0.929,0.608,0.587,0.353,0.543,0.928,0.869,0.764,No,No,No
Coriobacteriaceae,Collinsella,C.aerofaciens,-1.07,-0.57,0.0397,0.651,0.836,0.0196,-1.64,-0.682,2.03,0.101,0.495,0.0425,0.441,0.942,0.292,No,No,No
Bacteroidaceae,Bacteroides,B.caccae,0.17,-0.549,-0.00781,0.585,0.607,0.0145,0.291,-0.904,-0.54,0.771,0.366,0.589,0.937,0.869,0.764,No,No,No
Bacteroidaceae,Bacteroides,B.eggerthii,0.152,-0.00425,-0.00233,0.527,0.483,0.0135,0.288,-0.00881,-0.173,0.773,0.993,0.862,0.937,0.993,0.958,No,No,No
Bacteroidaceae,Bacteroides,B.fragilis,0.278,1.74,-0.0119,0.549,0.746,0.0159,0.507,2.33,-0.747,0.612,0.0196,0.455,0.928,0.393,0.731,No,No,No
Bacteroidaceae,Bacteroides,B.ovatus,-0.565,-0.246,-0.00341,0.781,0.868,0.0191,-0.724,-0.283,-0.179,0.469,0.777,0.858,0.928,0.95,0.958,No,No,No
Bacteroidaceae,Bacteroides,B.uniformis,-0.619,0.181,0.00104,0.761,0.745,0.0186,-0.814,0.243,0.056,0.415,0.808,0.955,0.907,0.95,0.98,No,No,No
Porphyromonadaceae,Parabacteroides,P.distasonis,-0.387,-0.714,-0.0156,0.424,0.417,0.00784,-0.913,-1.71,-1.99,0.361,0.0869,0.0462,0.85,0.68,0.292,No,No,No
Prevotellaceae,Prevotella,P.copri,2.09,1.55,-0.0418,1.11,1.27,0.0342,1.89,1.22,-1.23,0.0584,0.222,0.221,0.314,0.682,0.591,No,No,No
Prevotellaceae,Prevotella,P.stercorea,2.33,1.61,-0.00319,0.997,1.17,0.0249,2.34,1.37,-0.128,0.0192,0.17,0.898,0.192,0.68,0.971,No,No,No
Rikenellaceae,Alistipes,A.indistinctus,-0.568,-0.298,-0.0125,0.443,0.539,0.0121,-1.28,-0.553,-1.04,0.2,0.58,0.3,0.614,0.95,0.631,No,No,No
Rikenellaceae,Alistipes,A.onderdonkii,0.2,-0.209,-0.0196,0.411,0.433,0.0126,0.487,-0.482,-1.56,0.626,0.63,0.118,0.928,0.95,0.472,No,No,No
Rikenellaceae,Alistipes,A.putredinis,0.659,1.1,0.0172,0.614,0.732,0.0177,1.07,1.51,0.972,0.283,0.131,0.331,0.708,0.68,0.662,No,No,No
Clostridiaceae,Clostridium,C.celatum,0.241,0.366,-1.58e-4,0.647,0.789,0.0163,0.373,0.463,-0.00973,0.709,0.643,0.992,0.937,0.95,0.992,No,No,No
Lachnospiraceae,[Ruminococcus],R.gnavus,-0.305,-0.0774,0.00914,0.388,0.506,0.0106,-0.788,-0.153,0.861,0.431,0.878,0.389,0.907,0.95,0.677,No,No,No
Lachnospiraceae,[Ruminococcus],R.torques,-0.32,-0.495,0.0202,0.591,0.672,0.0176,-0.542,-0.737,1.14,0.588,0.461,0.253,0.928,0.922,0.591,No,No,No
Lachnospiraceae,Blautia,B.obeum,-2.09,-0.279,0.013,0.545,0.457,0.0116,-3.84,-0.61,1.12,1.25e-4,0.542,0.263,0.00499,0.942,0.591,No,No,No
Lachnospiraceae,Blautia,B.producta,0.104,-0.182,0.0106,0.565,0.631,0.0168,0.184,-0.288,0.629,0.854,0.773,0.53,0.967,0.95,0.764,No,No,No
Lachnospiraceae,Butyrivibrio,B.crossotus,1.63,0.423,-0.0289,0.646,0.676,0.0127,2.53,0.625,-2.28,0.0114,0.532,0.0228,0.152,0.942,0.228,No,No,No
Lachnospiraceae,Clostridium,C.citroniae,-0.632,-0.694,-0.0217,0.396,0.532,0.0124,-1.6,-1.3,-1.75,0.11,0.192,0.0796,0.441,0.682,0.398,No,No,No
Lachnospiraceae,Coprococcus,C.catus,-0.0655,-0.752,0.00869,0.453,0.449,0.0128,-0.145,-1.67,0.677,0.885,0.0942,0.498,0.967,0.68,0.764,No,No,No
Lachnospiraceae,Coprococcus,C.eutactus,1.69,1.17,0.0203,0.649,0.777,0.0171,2.61,1.51,1.18,0.00904,0.132,0.236,0.152,0.68,0.591,No,No,No
Lachnospiraceae,Defluviitalea,D.saccharophila,0.51,0.263,-0.0171,0.338,0.352,0.00877,1.51,0.745,-1.95,0.132,0.456,0.0511,0.48,0.922,0.292,No,No,No
Lachnospiraceae,Dorea,D.formicigenerans,-0.5,0.427,0.0136,0.464,0.463,0.00996,-1.08,0.921,1.36,0.281,0.357,0.173,0.708,0.869,0.577,No,No,No
Lachnospiraceae,Dorea,D.longicatena,0.0922,0.0518,-0.0104,0.214,0.299,0.00796,0.431,0.173,-1.3,0.667,0.863,0.192,0.935,0.95,0.591,No,No,No
Lachnospiraceae,Roseburia,R.faecis,0.0348,0.374,0.00941,0.486,0.436,0.0105,0.0716,0.858,0.898,0.943,0.391,0.369,0.967,0.869,0.677,No,No,No
Ruminococcaceae,Butyricicoccus,B.pullicaecorum,0.703,0.339,-0.0325,0.378,0.378,0.00796,1.86,0.897,-4.08,0.0628,0.37,4.48e-5,0.314,0.869,0.00179,No,No,No
Ruminococcaceae,Faecalibacterium,F.prausnitzii,-0.106,-0.36,0.00133,0.256,0.255,0.0071,-0.416,-1.41,0.187,0.678,0.158,0.852,0.935,0.68,0.958,No,No,No
Ruminococcaceae,Gemmiger,G.formicilis,-0.848,-0.914,-0.00112,0.4,0.626,0.0142,-2.12,-1.46,-0.0786,0.034,0.145,0.937,0.227,0.68,0.98,No,No,No
Ruminococcaceae,Ruminococcus,R.bromii,0.0875,-0.0861,0.0164,0.72,0.757,0.0184,0.122,-0.114,0.89,0.903,0.909,0.374,0.967,0.957,0.677,No,No,No
Ruminococcaceae,Ruminococcus,R.callidus,-0.0697,0.181,0.00977,0.688,0.715,0.0178,-0.101,0.254,0.548,0.919,0.8,0.584,0.967,0.95,0.764,No,No,No
Ruminococcaceae,Ruminococcus,R.flavefaciens,0.257,0.146,-0.0356,0.409,0.494,0.00911,0.629,0.296,-3.91,0.529,0.767,9.2e-5,0.928,0.95,0.00184,No,No,No
Erysipelotrichaceae,[Eubacterium],E.biforme,0.325,0.93,0.0229,0.6,0.743,0.0139,0.541,1.25,1.65,0.588,0.211,0.0996,0.928,0.682,0.443,No,No,No
Erysipelotrichaceae,[Eubacterium],E.cylindroides,0.323,1.61,-0.0175,0.261,0.614,0.0115,1.24,2.62,-1.52,0.216,0.00888,0.13,0.617,0.355,0.472,No,No,No
Erysipelotrichaceae,[Eubacterium],E.dolichum,-0.422,-0.119,-0.00168,0.315,0.395,0.00957,-1.34,-0.3,-0.176,0.18,0.764,0.861,0.601,0.95,0.958,No,No,No
